epsilon,size,number_of_threads,policy_type,id_rep,compression_ratio,space_saving,factorization_time,solve_time,clustering_type,low_rank_generator_type,symmetry_type,generator_type,hardware_type,version
1e-10,8192,1,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,16384,1,seq,0,6.53471,0.846971,118.748,6.50837,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,16384,1,seq,mean,6.53471,0.846971,118.748,6.50837,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,16384,1,seq,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,16384,1,par,0,6.53471,0.846971,118.261,6.48887,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,16384,1,par,mean,6.53471,0.846971,118.261,6.48887,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,16384,1,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,4096,1,seq,0,3.38854,0.704887,10.1882,0.802214,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,4096,1,seq,mean,3.38854,0.704887,10.1882,0.802214,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,4096,1,seq,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,4096,1,par,0,3.38854,0.704887,10.1699,0.792904,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,4096,1,par,mean,3.38854,0.704887,10.1699,0.792904,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,4096,1,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,8192,1,seq,0,5.6185,0.822017,26.0457,1.86028,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,8192,1,seq,mean,5.6185,0.822017,26.0457,1.86028,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,8192,1,seq,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,8192,1,par,0,5.6185,0.822017,26.0614,1.87442,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,8192,1,par,mean,5.6185,0.822017,26.0614,1.87442,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,8192,1,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
