epsilon,size,number_of_threads,policy_type,id_rep,compression_ratio,space_saving,time,clustering_type,low_rank_generator_type,symmetry_type,generator_type,hardware_type,version
1e-07,262144,1,omp_task,0,141.526,0.992934,19.1553,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,262144,1,omp_task,mean,141.526,0.992934,19.1553,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,262144,1,omp_task,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,262144,2,omp_task,0,141.526,0.992934,10.9653,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,262144,2,omp_task,mean,141.526,0.992934,10.9653,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,262144,2,omp_task,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,262144,4,omp_task,0,141.526,0.992934,9.45599,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,262144,4,omp_task,mean,141.526,0.992934,9.45599,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,262144,4,omp_task,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,262144,8,omp_task,0,141.526,0.992934,9.44275,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,262144,8,omp_task,mean,141.526,0.992934,9.44275,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,262144,8,omp_task,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,262144,16,omp_task,0,141.526,0.992934,8.95509,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,262144,16,omp_task,mean,141.526,0.992934,8.95509,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,262144,16,omp_task,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,524288,1,par,0,257.844,0.996122,41.725,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,524288,1,par,mean,257.844,0.996122,41.725,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,524288,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,524288,2,par,0,257.844,0.996122,24.0423,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,524288,2,par,mean,257.844,0.996122,24.0423,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,524288,2,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,524288,4,par,0,257.844,0.996122,17.4934,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,524288,4,par,mean,257.844,0.996122,17.4934,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,524288,4,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,524288,8,par,0,257.844,0.996122,16.9769,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,524288,8,par,mean,257.844,0.996122,16.9769,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
