epsilon,size,number_of_threads,policy_type,id_rep,compression_ratio,space_saving,factorization_time,solve_time,clustering_type,low_rank_generator_type,symmetry_type,generator_type,hardware_type,version
0.0001,16384,1,par,0,26.1216,0.961717,7.78666,1.35162,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,16384,1,par,mean,26.1216,0.961717,7.78666,1.35162,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,16384,1,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,16384,2,par,0,26.1216,0.961717,5.00245,1.39044,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,16384,2,par,mean,26.1216,0.961717,5.00245,1.39044,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,16384,2,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,16384,4,par,0,26.1216,0.961717,3.95368,1.36934,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,16384,4,par,mean,26.1216,0.961717,3.95368,1.36934,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,16384,4,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,16384,8,par,0,26.1216,0.961717,3.69373,1.37113,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,16384,8,par,mean,26.1216,0.961717,3.69373,1.37113,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,16384,8,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,16384,16,par,0,26.1216,0.961717,3.72256,1.37602,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,16384,16,par,mean,26.1216,0.961717,3.72256,1.37602,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,16384,16,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,8192,1,par,0,3.94471,0.746496,46.7416,2.74079,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,8192,1,par,mean,3.94471,0.746496,46.7416,2.74079,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,8192,1,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,8192,2,par,0,3.94471,0.746496,25.303,2.72217,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,8192,2,par,mean,3.94471,0.746496,25.303,2.72217,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,8192,2,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,8192,4,par,0,3.94471,0.746496,14.9844,2.70828,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,8192,4,par,mean,3.94471,0.746496,14.9844,2.70828,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,8192,4,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,8192,8,par,0,3.94471,0.746496,11.5388,2.76938,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,8192,8,par,mean,3.94471,0.746496,11.5388,2.76938,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,8192,8,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,8192,16,par,0,3.94471,0.746496,11.4565,2.75481,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,8192,16,par,mean,3.94471,0.746496,11.4565,2.75481,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,8192,16,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,16384,1,par,0,6.53471,0.846971,118.213,6.46898,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,16384,1,par,mean,6.53471,0.846971,118.213,6.46898,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,16384,1,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,16384,2,par,0,6.53471,0.846971,66.5423,6.51491,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,16384,2,par,mean,6.53471,0.846971,66.5423,6.51491,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,16384,2,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,16384,4,par,0,6.53471,0.846971,42.24,6.40291,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,16384,4,par,mean,6.53471,0.846971,42.24,6.40291,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,16384,4,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
