epsilon,size,number_of_threads,policy_type,id_rep,compression_ratio,space_saving,time,clustering_type,low_rank_generator_type,symmetry_type,generator_type,hardware_type,version
1e-07,524288,16,par,mean,191.329,0.994773,1.61226,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,524288,16,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,262144,1,par,0,144.116,0.993061,2.8697,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,262144,1,par,mean,144.116,0.993061,2.8697,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,262144,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,262144,2,par,0,144.116,0.993061,0.990821,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,262144,2,par,mean,144.116,0.993061,0.990821,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,262144,2,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,262144,4,par,0,144.116,0.993061,0.612799,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,262144,4,par,mean,144.116,0.993061,0.612799,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,262144,4,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,262144,8,par,0,144.116,0.993061,0.42514,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,262144,8,par,mean,144.116,0.993061,0.42514,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,262144,8,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,262144,16,par,0,144.116,0.993061,0.30742,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,262144,16,par,mean,144.116,0.993061,0.30742,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,262144,16,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,524288,1,par,0,263.454,0.996204,6.5162,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,524288,1,par,mean,263.454,0.996204,6.5162,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,524288,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,524288,2,par,0,263.454,0.996204,2.53997,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,524288,2,par,mean,263.454,0.996204,2.53997,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,524288,2,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,524288,4,par,0,263.454,0.996204,1.52782,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,524288,4,par,mean,263.454,0.996204,1.52782,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,524288,4,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,524288,8,par,0,263.454,0.996204,0.882366,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,524288,8,par,mean,263.454,0.996204,0.882366,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,524288,8,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,524288,16,par,0,263.454,0.996204,0.648011,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,524288,16,par,mean,263.454,0.996204,0.648011,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,524288,16,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-10,262144,1,par,0,61.9941,0.983869,55.4553,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,262144,1,par,mean,61.9941,0.983869,55.4553,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,262144,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,262144,2,par,0,61.9941,0.983869,27.9397,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,262144,2,par,mean,61.9941,0.983869,27.9397,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,262144,2,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,262144,4,par,0,61.9941,0.983869,20.8083,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,262144,4,par,mean,61.9941,0.983869,20.8083,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,262144,4,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,262144,8,par,0,61.9941,0.983869,16.3328,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,262144,8,par,mean,61.9941,0.983869,16.3328,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,262144,8,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,262144,16,par,0,61.9941,0.983869,15.1351,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,262144,16,par,mean,61.9941,0.983869,15.1351,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
